MolecularWeight,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,molecule_chembl_id,canonical_smiles,log_standard_value
258.256,2.4899000000000004,0,5,55.05,2,CHEMBL2059218,CSc1nc(/C=C/c2ccc(N(C)C)c(O)c2)cc(/C=C/c2ccc(N(C)C)c(O)c2)n1,3.041787318971752
292.3860000000001,4.0622000000000025,2,4,49.84,5,CHEMBL4111103,CC(F)(F)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,2.492760389026837
267.26300000000003,3.5206000000000017,0,4,43.85,1,CHEMBL2059206,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)c(O)c3)ncn2)cc1O,3.531606631932722
529.6500000000003,3.3443000000000023,1,6,90.39,7,CHEMBL231448,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,2.733197265106569
660.9040000000002,5.294000000000005,4,8,111.62,20,CHEMBL94521,O=C(CN1CCCCC1)Nc1cc(CN2CCOCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,3.4915017662373264
386.2490000000002,3.422900000000002,2,5,67.15,3,CHEMBL4751082,O=C(NO)c1ccc(Nc2c3ccccc3nc3ccc(OC(F)(F)F)cc23)cc1,3.5441921107650325
453.80800000000016,2.0606,3,7,122.72,3,CHEMBL3898248,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC(F)(F)F)cc1[C@@]21N=C(C)C(N)=N1,0.2304489213782739
588.8230000000002,11.350299999999985,0,6,25.24,6,CHEMBL181529,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O,3.832572775
311.33700000000005,2.2175,3,3,86.63000000000001,6,CHEMBL4092433,CN(C)c1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,4.465695074
302.23800000000006,1.988,5,7,131.36,1,CHEMBL3593282,CCCOc1ccc2c(c1)N(CC)/C(=C/C=C/c1sc3ccccc3[n+]1CC)S2.[I-],2.9036325160842376
446.9820000000003,5.384780000000006,1,5,83.75999999999999,2,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.118958777766434
392.5680000000001,5.399520000000005,1,4,32.34,3,CHEMBL3609749,COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,2.120573931
515.6980000000003,6.101400000000007,1,6,56.25000000000001,14,CHEMBL1208903,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1,4.004364371107752
296.12,3.352400000000001,2,3,62.47,4,CHEMBL513978,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)c(C(=O)O)c1O,4.307517431203132
588.7520000000002,6.385600000000006,1,7,70.84,10,CHEMBL2408104,CCCCCCCCCCCCNC(=O)c1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1,4.201424437579911
375.4240000000001,4.850800000000005,2,5,71.81,6,CHEMBL236188,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,1.3222192947339193
500.6830000000003,6.815600000000008,1,5,53.010000000000005,15,CHEMBL63354,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,3.681331705969166
566.648,6.716000000000007,0,5,42.010000000000005,7,CHEMBL3814125,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,3.1763806922432702
255.277,2.6614000000000004,1,5,62.39,2,CHEMBL489979,CN(C)c1ccc(/C=C/c2cc3cc(Br)ccc3o2)cc1,2.673020907128896
325.3680000000001,3.007200000000001,2,6,76.5,6,CHEMBL4112705,C[C@]1(c2nc(NC(=O)c3ncc(C(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,1.7853298350107671
454.5260000000001,5.700600000000007,2,6,76.74,8,CHEMBL4846443,Cn1cc(O)c(=O)cc1/C=C/c1ccc(OCCCN2CCCCC2)cc1,3.4101020766428607
373.47200000000015,3.539400000000001,1,5,69.2,4,CHEMBL3889997,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccnc2)ccc1O,4.000043427276863
552.4910000000003,5.437000000000007,5,10,170.79999999999998,4,CHEMBL4227244,c1ccc(-c2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)c(CN2CCOCC2)c1,4.000043427276863
492.04100000000017,4.014300000000003,0,5,70.16,6,CHEMBL200077,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,2.257678574869185
552.1810000000004,5.671400000000006,0,5,70.16,7,CHEMBL205907,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O,1.2041199826559248
244.229,2.4656,1,5,63.84,2,CHEMBL2059388,Oc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(O)cc3)c2)cc1,3.204391332
527.6810000000003,5.258200000000005,3,4,98.74,14,CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,5.004325673706721
